"First_Name","Middle_Name","Last_Name","Affiliation","web"
"Prof. Subhash","Chandra","Mishra","1995-2017",
"Prof. Chandramohan",,"Somayaji","2009-2017",
"Prof. Hrishikesh","Prabhakar","Gadgil","2012-2015",
"Prof. C.","S.","Jog",,
"Prof. K.",,"Srinivasan",,
"Prof. Sankha",,"Deb ","2006-2008",
"Prof. Manab","K.","Das ",,
"Prof. Surjya","K.","Pal","2002-2004",
"Prof. Anupam",,"Dewan ","1997-2009",
"Prof. Sudarsan",,"Ghosh ","2007",
"Prof. S.","V.","Prabhu","1998-2003",
"Prof. Amitava ",,"Ghosh",,
"Prof. Asis","Kumar","Sen",,
"Prof. N.","K.","Chandiramani ","1995-2005",
"Prof. Arup","Kumar","Das","2010-2011",
"Prof. Pradeep ","K.","Jha","2003-2006",
"Prof. Aynur",,"Unal","2014-2015",
"Shri., R ","I K","Murthy ",,
"Prof. G.","Saravana ","Kumar","2004-08","http://ed.iitm.ac.in/~gsaravana/"
"M.",,"Ramji ","2009","http://www.iith.ac.in/~ramji_mano/"
"Amit",,"Mujumdar",,"https://scholar.google.co.in/citations?user=pWz7ITQAAAAJ&hl=en"
"A. ","Narayana","Reddy ","2012-2018","http://www.iitg.ac.in/annem/"
